pH,Chlorine,Turbidity,Conductivity,Alkalinity,Temperature,Colour,Total Dissolved Solids,Hardness
7.375,1.3250000000000002,0.41550000000000004,63.95,9.05,3.4,45.5,32.05,21.45
4.86,1.61,0.491,42.2,3.4,4.3,43.0,21.1,20.5
7.12,1.55,0.401,51.2,13.6,4.4,65.0,25.6,19.7
6.8,1.55,0.679,55.0,9.2,3.4,41.0,27.5,21.3
7.78,1.55,0.252,52.7,10.0,3.5,39.0,26.3,23.2
7.3,1.55,0.219,60.0,11.3,3.7,54.0,30.0,23.6
6.85,1.56,0.223,53.6,14.4,3.6,51.0,26.8,25.7
7.074999999999999,1.5550000000000002,0.221,56.8,12.850000000000001,3.6500000000000004,52.5,28.4,24.65
7.02,1.61,0.64,56.8,12.0,3.4,51.75,28.4,23.0
7.33,1.8,0.133,54.3,11.2,3.4,45.0,27.1,29.2
3.44,1.6,0.104,40.3,7.4,3.4,41.0,20.1,30.8
5.385,1.7000000000000002,0.1185,47.3,9.3,3.4,43.0,23.6,30.0
8.43,1.62,0.463,52.0,8.8,3.3,43.0,25.8,28.8
6.94,1.61,0.295,55.0,8.9,3.1,43.0,27.5,26.3
7.6850000000000005,1.5,0.379,53.5,8.850000000000001,3.2,43.0,26.65,27.55
7.27,1.54,0.74,56.5,9.0,3.4,49.0,28.2,22.5
7.03,1.67,0.249,56.0,9.0,3.3,50.0,28.0,26.6
6.87,1.45,0.177,58.4,11.9,3.3,54.0,29.2,25.4
6.87,1.53,0.187,59.6,11.3,3.2,45.0,29.8,24.4
7.2,1.55,0.123,59.2,10.6,3.5,51.0,29.5,23.6
7.3,1.65,0.183,56.5,10.6,3.2,48.0,28.2,22.9
7.25,1.6,0.153,57.85,10.6,3.35,49.5,28.85,23.25
7.11,1.67,0.51,58.3,8.7,3.3,54.0,29.2,17.7
7.78,1.56,0.164,60.1,8.9,3.5,54.0,30.0,18.6
7.86,1.49,0.233,69.0,7.4,3.5,57.0,34.5,18.0
7.38,1.49,0.248,60.1,8.6,3.5,43.0,30.1,19.1
6.84,1.67,0.261,61.3,10.4,3.4,42.0,30.6,24.5
7.77,1.65,0.294,58.9,8.6,3.5,41.0,29.4,21.0
7.305,1.66,0.27749999999999997,60.099999999999994,9.5,3.45,41.5,30.0,22.75
7.98,1.58,0.407,64.7,10.6,3.7,42.0,32.3,23.4
7.06,1.63,0.377,53.0,10.4,3.5,48.0,26.5,21.2
8.31,1.59,0.144,55.1,9.8,3.8,33.0,27.6,20.6
7.89,1.27,0.498,59.6,10.0,4.0,15.0,29.8,20.8
6.82,1.3,0.423,58.2,9.9,5.6,16.0,29.1,21.1
7.04,1.24,0.515,61.0,10.1,3.6,42.0,30.5,20.1
6.93,1.33,0.469,59.6,10.0,4.6,29.0,29.8,20.6
5.08,1.23,0.219,59.3,8.2,3.8,30.0,29.2,20.0
7.35,1.13,0.379,61.0,8.9,3.7,30.0,30.5,21.6
7.18,1.31,0.527,56.8,11.8,3.6,49.0,28.4,23.7
7.51,1.14,0.289,62.0,10.7,3.5,46.0,31.0,23.8
7.31,1.23,0.492,61.7,10.9,3.8,44.0,30.9,24.0
6.68,1.25,0.343,44.7,11.2,3.9,42.0,22.3,23.3
6.994999999999999,1.2,0.4175,53.2,11.05,3.8499999999999996,43.0,26.6,23.65
7.12,1.23,0.65,60.6,11.9,3.4,73.0,30.3,23.7
7.52,1.04,0.193,58.2,12.3,3.7,41.0,29.1,23.4
7.24,1.28,0.503,57.3,12.1,3.3,43.0,28.6,18.4
6.87,1.19,0.483,61.2,11.8,4.2,30.0,30.7,20.4
6.55,1.12,0.344,53.7,10.4,4.5,34.0,26.8,20.0
7.36,1.27,0.295,58.3,10.4,4.2,31.0,29.2,19.9
6.955,1.195,0.3195,56.0,10.4,4.35,32.5,28.0,19.95
7.2,1.21,0.701,58.8,10.9,4.4,40.0,29.4,25.9
6.68,1.22,0.432,60.0,11.2,4.1,41.0,30.0,24.1
6.9399999999999995,1.2149999999999999,0.5665,59.4,11.05,4.25,40.5,29.7,25.0
7.29,1.35,0.415,60.1,11.1,4.6,41.0,30.0,25.1
7.84,1.12,0.31,58.2,11.0,4.5,31.0,29.1,24.1
7.68,1.25,0.504,55.0,11.2,4.0,46.0,22.5,21.2
7.76,1.185,0.40700000000000003,56.6,11.1,4.25,38.5,25.8,22.65
7.43,1.25,0.617,60.9,10.6,3.7,44.0,30.4,20.9
7.58,1.29,0.44,59.3,10.2,3.6,41.0,29.6,19.9
7.56,1.22,0.43,54.6,11.1,3.6,43.0,27.3,21.8
7.33,1.22,0.292,56.6,10.2,3.9,37.0,28.3,18.4
6.28,1.21,0.274,61.1,12.3,3.9,0.0,31.0,19.9
7.02,1.189,0.266,62.0,11.6,3.8,31.0,31.1,22.9
6.65,1.1995,0.27,61.55,11.95,3.8499999999999996,15.5,31.05,21.4
7.93,1.3,0.233,61.4,11.9,3.5,42.0,30.7,22.2
7.36,1.25,0.3,60.0,10.4,3.5,54.0,30.0,23.1
7.58,1.2,0.231,60.2,11.8,3.6,36.0,30.1,23.4
7.07,1.23,0.354,59.6,11.2,3.4,31.0,29.8,28.6
6.89,1.25,0.223,57.2,11.3,3.2,28.0,28.6,27.0
6.72,1.32,0.373,52.6,10.1,3.0,35.0,26.3,28.9
6.805,1.2850000000000001,0.298,54.900000000000006,10.7,3.1,31.5,27.450000000000003,27.95
6.27,1.15,0.589,51.3,6.2,3.8,30.0,25.6,15.0
6.91,0.96,0.402,63.6,11.8,3.8,33.0,31.8,17.9
7.22,1.24,0.244,64.9,10.4,3.7,33.0,32.4,18.4
7.36,1.11,0.176,62.8,14.8,3.7,9.0,31.4,25.9
6.96,1.14,0.169,63.6,11.8,3.7,35.0,31.8,25.3
7.75,1.17,0.146,65.4,11.6,4.0,37.0,32.7,24.5
7.355,1.1549999999999998,0.1575,64.5,11.7,3.85,36.0,32.25,24.9
7.04,1.25,0.26,62.5,13.4,3.8,39.0,31.2,25.5
6.74,1.11,0.176,63.2,14.8,3.7,43.0,31.6,23.3
6.890000000000001,1.16,0.218,62.85,14.100000000000001,3.75,41.0,31.4,24.4
6.815,1.2,0.197,63.025000000000006,14.450000000000001,3.725,42.0,31.5,23.85
6.69,1.22,0.26,53.8,12.8,4.0,36.0,26.9,23.9
6.96,1.25,0.441,64.6,12.6,4.3,37.0,32.3,22.1
6.825,1.2,0.35050000000000003,59.199999999999996,12.7,4.15,36.5,29.599999999999998,23.0
6.75,1.34,0.302,60.2,11.7,4.3,32.0,30.1,22.8
6.86,1.21,0.187,66.4,10.9,4.0,35.0,33.2,20.4
7.21,1.28,0.131,68.2,15.7,4.3,31.0,34.1,21.3
7.31,1.19,0.153,67.4,15.1,4.1,34.0,33.6,25.8
7.37,1.23,0.142,70.6,14.9,4.8,43.0,35.3,23.7
6.47,1.41,0.32,67.1,12.6,4.5,34.0,33.6,22.7
6.92,1.3199999999999998,0.23099999999999998,68.85,13.75,4.65,38.5,34.45,23.2
6.6,1.15,0.248,70.2,14.8,4.4,41.0,35.1,37.7
8.77,1.15,0.198,60.2,14.3,4.2,38.0,30.1,26.2
7.53,1.21,0.758,60.5,13.9,5.1,45.0,30.2,25.8
7.37,1.29,0.214,56.4,11.8,5.2,42.0,28.2,26.8
7.34,1.23,0.29,59.2,9.8,5.0,41.0,29.6,26.4
7.44,1.27,0.185,60.0,10.1,5.1,42.0,30.0,24.2
7.390000000000001,1.32,0.2375,59.6,9.95,5.05,41.5,29.8,25.299999999999997
7.72,1.55,0.249,55.0,10.7,5.2,42.0,27.5,22.1
7.11,1.48,0.35,58.8,11.7,5.4,38.0,29.4,22.9
7.03,1.53,0.367,54.6,11.3,4.6,36.0,27.3,24.1
7.26,1.6,0.308,56.8,11.6,4.5,36.0,28.4,21.9
7.54,1.31,0.115,57.4,11.8,5.0,34.0,28.7,26.0
6.55,1.23,0.35,47.1,5.7,4.65,37.0,23.55,25.5
7.045,1.15,0.23249999999999998,47.2,8.75,4.9,35.5,23.6,25.75
6.01,1.3,0.554,47.0,7.1,4.4,44.0,23.5,26.9
7.49,1.28,0.435,47.4,9.8,5.4,43.0,23.7,25.7
7.24,1.23,0.339,50.3,8.2,5.4,31.0,25.1,24.9
7.55,1.31,0.304,50.8,8.9,5.5,36.0,25.4,23.2
7.59,1.32,0.279,54.2,9.6,5.6,30.0,27.1,21.8
7.49,1.22,0.256,46.0,11.7,7.7,47.0,23.0,22.2
7.54,1.27,0.2675,50.1,10.649999999999999,6.65,38.5,25.05,22.0
6.47,1.42,0.268,35.3,11.174999999999999,7.6,35.0,17.6,12.4
6.36,1.33,0.058,39.6,10.912499999999998,7.4,33.0,19.8,11.3
7.54,1.39,0.305,47.2,6.0,8.4,41.0,23.6,14.2
7.53,1.36,0.306,50.4,10.4,8.8,48.0,25.2,20.0
7.64,1.28,0.381,44.2,9.6,6.9,46.0,22.1,21.2
7.48,1.35,0.238,46.0,7.4,7.0,42.0,23.0,22.3
7.5600000000000005,1.315,0.3095,45.1,8.5,6.95,44.0,22.55,21.75
7.64,1.3,0.475,49.1,6.9,7.4,40.0,24.6,20.9
7.4,1.17,0.241,44.3,5.9,8.0,34.0,22.1,15.8
7.4,1.25,0.267,43.4,3.3,6.7,33.0,21.7,16.6
7.34,1.25,0.242,43.6,3.6,6.9,42.0,21.8,19.3
7.34,0.99,0.125,50.1,6.6,7.2,37.0,25.0,19.0
7.63,1.15,0.085,49.6,8.7,7.4,38.0,24.8,20.6
7.484999999999999,1.11,0.10500000000000001,49.85,7.6499999999999995,7.300000000000001,37.5,24.9,19.8
7.19,1.17,0.145,46.4,6.8,8.5,39.0,23.2,12.2
6.78,1.16,0.083,48.4,7.0,7.9,37.0,24.2,13.9
7.02,1.11,0.141,50.2,8.3,8.4,43.0,25.1,16.2
7.16,1.24,0.273,43.4,8.7,8.6,41.0,21.7,15.3
7.17,1.38,0.098,47.6,9.2,8.7,43.0,23.8,16.0
6.82,1.29,0.097,51.2,9.0,8.5,44.0,25.6,15.4
6.995,1.2,0.0975,49.400000000000006,9.1,8.6,43.5,24.700000000000003,15.7
6.907500000000001,1.32,0.09725,50.300000000000004,9.05,8.55,43.75,25.150000000000002,15.55
7.28,1.34,0.083,51.0,8.7,8.0,49.0,25.5,17.1
7.5,1.31,0.139,48.4,7.8,8.3,40.0,24.2,18.6
6.72,1.26,0.761,49.0,8.7,9.0,31.0,24.5,15.6
7.39,1.21,0.216,48.4,7.8,9.0,28.0,24.2,18.3
7.9,1.26,0.112,50.8,7.1,9.2,41.0,25.4,19.4
7.645,1.2,0.164,49.599999999999994,7.449999999999999,9.1,34.5,24.799999999999997,18.85
7.59,1.13,0.121,48.7,8.9,9.9,37.0,24.3,19.6
7.63,1.29,0.104,50.1,8.9,1.02,33.0,25.1,18.5
7.68,1.2,0.11,49.2,7.3,10.0,53.0,24.6,19.5
7.41,1.05,0.132,46.0,7.3,9.9,37.0,23.0,12.0
7.63,1.23,0.101,46.9,8.4,10.0,48.0,23.9,18.7
6.89,1.26,0.118,49.6,8.1,9.2,53.0,24.8,17.8
7.26,1.16,0.1095,48.25,8.25,9.6,50.5,24.35,18.25
7.06,1.09,0.105,49.2,8.1,9.1,31.0,24.6,20.2
7.22,1.33,0.318,48.6,7.9,9.1,39.0,24.3,7.6
7.23,1.4,0.142,53.3,9.2,9.8,40.0,26.7,12.5
7.25,1.42,0.126,55.0,9.7,9.9,46.0,27.5,13.5
7.1,1.48,0.109,55.1,11.1,10.8,30.0,27.5,10.7
7.21,1.54,0.112,53.4,8.6,10.5,38.0,26.7,14.3
7.154999999999999,1.33,0.1105,54.25,9.85,10.65,34.0,27.1,12.5
6.89,1.45,0.119,52.8,8.2,10.4,36.0,26.4,13.7
7.69,1.21,0.137,54.9,9.024999999999999,9.9,35.0,27.5,19.8
7.48,1.06,0.172,56.0,10.9,11.1,42.0,28.0,19.4
7.38,1.07,0.207,54.2,9.7,11.1,42.0,27.1,20.2
7.44,1.26,0.113,55.8,10.8,11.7,32.0,27.9,23.4
6.47,1.25,0.138,57.7,10.3,12.3,39.0,28.8,12.6
6.955,1.21,0.1255,56.75,10.55,12.0,35.5,28.35,18.0
7.51,1.16,0.311,54.9,12.1,12.8,29.0,27.4,21.3
7.13,1.19,0.11,59.8,9.8,13.4,39.0,29.9,24.0
7.18,1.82,0.168,60.2,7.4,12.6,39.0,30.1,21.7
7.16,1.35,0.144,42.6,7.8,13.0,38.0,21.3,25.0
7.4,1.11,0.189,55.4,9.9,12.0,34.0,27.7,23.8
6.58,1.08,0.235,62.4,11.3,12.2,51.0,31.2,26.2
6.99,1.06,0.212,58.9,10.600000000000001,12.1,42.5,29.45,25.0
7.08,1.26,0.233,60.8,11.5,12.9,38.0,30.4,24.1
7.46,1.22,0.344,61.0,10.4,12.8,36.0,30.5,20.3
7.52,1.12,0.402,64.4,12.6,12.9,39.0,32.2,26.4
7.18,1.17,0.319,65.2,12.9,13.6,39.0,32.6,25.8
7.1,1.21,0.276,65.2,13.0,13.6,39.0,32.6,26.7
7.2,1.15,0.224,60.1,9.6,13.7,44.0,30.1,23.3
7.15,1.12,0.25,62.650000000000006,11.3,13.649999999999999,41.5,31.35,25.0
7.14,1.21,0.183,65.8,14.2,14.5,39.0,32.8,26.9
7.13,0.95,0.192,64.0,19.0,14.7,38.0,32.0,29.1
7.12,1.05,0.192,61.1,13.7,14.7,41.0,30.5,24.9
7.24,1.15,0.169,58.3,12.0,14.8,37.0,29.1,25.1
7.25,1.17,0.158,60.4,11.8,14.9,38.0,30.2,25.8
6.87,1.05,0.139,56.4,13.7,15.6,38.0,28.2,21.6
7.0600000000000005,1.07,0.14850000000000002,58.4,12.75,15.25,38.0,29.2,23.700000000000003
7.03,1.44,0.16,62.6,12.2,15.0,37.0,31.3,25.5
7.05,1.36,0.148,59.9,12.0,15.3,37.0,29.9,26.7
6.97,1.41,0.14,63.6,11.2,14.7,32.0,31.8,26.1
7.08,1.32,0.173,65.8,11.4,14.6,31.0,32.9,24.7
7.2,1.18,0.161,65.9,12.3,14.9,36.0,32.9,26.9
7.25,1.16,0.165,63.2,12.9,16.4,34.0,31.6,23.8
7.225,0.91,0.163,64.55000000000001,12.600000000000001,15.649999999999999,35.0,32.25,25.35
7.28,1.08,0.194,67.4,12.4,17.5,34.0,33.7,26.1
7.22,1.35,0.186,67.0,12.1,17.6,35.0,33.5,26.0
7.25,1.48,0.19,67.2,12.25,17.55,34.5,33.6,26.05
7.2,1.41,0.175,67.1,13.9,18.2,36.0,33.5,29.8
7.16,1.37,0.514,59.4,13.3,17.9,36.0,29.7,18.8
7.18,1.23,0.34450000000000003,63.25,13.600000000000001,18.049999999999997,36.0,31.6,24.3
7.17,0.94,0.42925,61.325,13.450000000000001,17.974999999999998,36.0,30.65,21.55
7.04,1.34,0.297,61.5,13.7,19.3,34.0,31.2,20.5
7.61,1.64,0.109,48.9,8.2,19.2,38.0,24.3,22.1
6.878,1.7,0.123,48.1,8.4,19.3,37.0,24.0,21.2
6.99,1.63,0.191,46.2,8.0,19.6,36.0,22.6,22.3
6.83,1.56,0.462,51.6,6.2,19.5,43.0,25.8,21.3
7.06,1.72,0.408,51.2,7.2,18.9,44.0,25.6,12.3
6.945,1.73,0.435,51.400000000000006,6.7,19.2,43.5,25.700000000000003,16.8
7.29,1.72,0.174,54.0,7.3,20.4,39.0,27.0,17.1
7.7,1.52,0.291,52.0,9.4,19.3,39.0,26.0,19.2
7.22,1.67,0.174,46.4,8.6,18.0,43.0,23.2,20.1
7.06,1.71,0.152,46.6,7.3,18.3,45.0,23.3,18.9
7.9,1.58,0.215,54.6,9.3,18.0,41.0,27.3,21.4
7.11,1.71,0.634,48.8,8.5,18.4,30.0,24.4,12.1
7.505000000000001,1.63,0.4245,51.7,8.9,18.2,35.5,25.85,16.75
7.02,1.58,0.136,51.0,7.6,18.2,42.0,25.5,15.9
7.33,2.98,0.175,52.8,8.7,18.4,41.0,26.4,18.1
7.46,1.6,0.192,53.1,9.8,18.7,38.0,26.5,25.4
7.42,1.51,0.151,49.9,9.8,19.0,40.0,24.9,22.1
6.84,1.88,0.119,55.5,9.1,19.5,42.0,27.7,20.6
7.3,1.78,0.128,57.2,8.4,19.7,40.0,28.6,20.0
7.07,1.72,0.1235,56.35,8.75,19.6,41.0,28.15,20.3
7.24,1.65,0.157,52.8,8.8,18.6,36.0,26.4,20.1
7.18,1.46,0.161,51.9,8.4,18.6,50.0,25.9,21.9
7.28,1.33,0.156,51.9,8.6,19.3,39.0,26.0,20.3
7.15,1.57,0.17,50.6,8.5,19.1,36.0,25.3,21.1
7.31,1.77,0.27,55.6,8.4,18.3,44.0,27.8,21.2
7.25,1.7,0.147,56.8,8.45,18.7,39.0,28.4,22.9
7.279999999999999,1.63,0.20850000000000002,56.2,8.425,18.5,41.5,28.1,22.049999999999997
7.3,1.68,0.161,57.9,8.4375,19.3,40.0,28.9,27.3
7.06,1.74,0.175,54.6,8.43125,20.0,39.0,27.3,26.6
7.18,1.71,0.16799999999999998,56.25,8.434375,19.65,39.5,28.1,26.950000000000003
7.9,2.21,0.373,56.2,8.4328125,20.6,36.0,28.1,21.1
7.17,2.14,0.369,51.6,8.43359375,20.0,30.0,25.8,19.9
7.535,2.175,0.371,53.900000000000006,8.433203125,20.3,33.0,26.950000000000003,20.5
7.3525,2.41,0.37,52.75,8.4333984375,20.15,31.5,26.375,20.2
6.54,1.94,0.616,52.2,8.43330078125,18.4,31.0,26.1,23.3
7.18,1.7,0.307,60.8,7.1,18.1,30.0,30.4,24.0
6.88,1.85,0.261,57.7,9.8,18.4,39.0,28.8,25.6
7.6,1.63,0.294,57.3,9.8,18.6,22.0,28.6,22.5
7.28,1.65,0.313,57.3,9.4,19.4,30.0,28.7,22.5
6.99,1.59,0.708,56.3,8.2,19.3,39.0,28.2,20.4
7.135,1.62,0.5105,56.8,8.8,19.35,34.5,28.45,21.45
7.88,1.42,0.344,57.3,9.8,18.8,36.0,28.7,24.0
7.53,1.27,0.225,55.3,8.2,18.6,38.0,27.7,22.7
7.62,1.66,0.165,56.0,8.7,18.9,34.0,28.0,22.0
7.35,1.77,0.186,59.9,9.2,19.1,30.0,29.9,24.0
6.88,1.74,0.413,59.6,9.1,18.5,43.0,29.8,23.1
7.04,1.81,0.435,62.2,8.9,19.0,41.0,31.1,23.7
6.96,1.65,0.424,60.900000000000006,9.0,18.75,42.0,30.450000000000003,23.4
7.11,1.61,0.534,58.0,10.5,19.5,50.0,29.0,25.9
7.6,1.65,0.398,62.6,9.4,18.9,38.0,31.3,24.6
7.67,1.74,0.437,67.2,11.1,17.8,41.0,33.6,23.3
7.62,1.71,0.263,67.4,10.7,17.7,36.0,33.7,26.1
7.45,1.59,0.33,60.7,10.8,16.7,33.0,30.3,26.4
6.61,1.74,0.439,58.8,9.3,16.6,24.0,29.4,26.1
7.03,1.665,0.3845,59.75,10.05,16.65,28.5,29.85,26.25
6.64,1.79,0.655,61.0,7.6,15.4,41.0,30.5,25.2
7.55,1.84,0.569,65.4,9.1,15.1,34.0,32.7,27.3
7.7,1.74,0.394,62.6,8.9,15.6,33.0,31.3,26.5
7.75,1.76,0.385,68.8,9.1,15.0,35.0,34.4,25.5
7.48,1.73,0.263,71.8,8.7,15.5,27.0,35.9,26.7
7.63,1.82,0.317,59.6,9.2,15.7,38.0,29.8,21.2
7.555,1.775,0.29000000000000004,65.7,8.95,15.6,32.5,32.85,23.95
7.11,1.8,0.342,68.3,9.8,14.8,35.0,34.1,23.2
7.09,1.65,0.53,68.8,10.6,14.2,46.0,34.4,24.5
7.48,1.41,1.126,58.0,10.0,13.9,54.0,29.0,21.6
7.02,1.66,1.089,61.0,8.2,14.2,68.0,30.5,22.2
7.52,1.59,0.558,63.8,8.4,13.0,53.0,31.9,23.2
7.07,1.5,0.77,59.8,8.6,13.2,51.0,29.9,24.1
7.295,1.7,0.664,61.8,8.5,13.1,52.0,30.9,23.65
7.1825,1.59,0.7170000000000001,60.8,8.55,13.149999999999999,51.5,30.4,23.875
7.23875,1.81,0.6905000000000001,61.3,8.525,13.125,51.75,30.65,23.7625
7.07,1.65,0.588,63.6,8.2,12.8,46.0,31.8,25.5
6.61,1.49,0.343,65.0,9.9,13.1,53.0,32.5,24.6
6.94,1.4,0.464,69.0,10.3,13.3,48.0,34.5,23.6
7.57,1.51,0.316,60.3,10.2,14.2,51.0,30.2,23.4
7.255000000000001,1.455,0.39,64.65,10.25,13.75,49.5,32.35,23.5
6.45,1.33,0.729,70.8,7.5,14.5,54.0,35.4,23.9
7.02,1.35,0.294,59.8,8.6,14.2,54.0,29.9,24.7
6.91,1.56,0.226,60.8,9.5,13.8,49.0,30.4,22.7
7.12,1.71,0.34,54.9,9.8,13.5,53.0,27.4,23.3
7.74,1.64,0.378,57.8,9.9,13.7,50.0,28.8,22.2
7.17,1.63,0.387,62.4,9.0,13.3,54.0,31.2,24.5
7.16,1.58,0.393,48.4,9.3,11.8,39.0,24.2,21.7
7.165,1.605,0.39,55.4,9.15,12.55,46.5,27.7,23.1
7.18,1.61,0.435,54.1,10.1,11.7,42.0,27.1,23.4
7.37,1.55,0.474,54.2,9.4,11.8,50.0,27.1,23.9
7.18,1.59,0.355,54.7,9.7,11.8,51.0,27.3,26.4
7.14,1.68,0.412,54.4,7.3,11.1,43.0,27.2,25.9
7.06,1.51,0.411,53.8,5.6,10.9,53.0,26.9,26.8
7.1,1.595,0.4115,54.099999999999994,6.449999999999999,11.0,48.0,27.049999999999997,26.35
6.86,1.51,0.226,59.0,11.0,11.8,51.0,29.5,26.3
6.91,1.46,0.344,54.8,9.1,11.6,47.0,27.4,23.3
7.17,1.69,0.453,50.6,5.5,10.3,44.0,25.3,24.8
7.04,1.575,0.39849999999999997,52.7,7.3,10.95,45.5,26.35,24.05
7.0,1.55,0.469,55.3,7.8,10.3,42.0,27.6,23.1
7.15,1.66,0.338,59.8,8.2,10.8,41.0,29.9,22.8
7.075,1.605,0.40349999999999997,57.55,8.0,10.55,41.5,28.75,22.950000000000003
7.64,1.61,0.647,58.0,6.3,10.0,58.0,29.0,25.8
7.2,1.62,0.1694,57.0,9.2,9.4,46.0,28.5,25.8
7.22,1.67,0.36,56.8,9.7,9.2,53.0,28.4,23.6
6.8,1.52,0.364,56.4,10.7,8.9,46.0,28.2,21.5
7.16,1.78,0.375,54.4,9.7,10.0,54.0,27.2,13.1
7.33,1.61,0.625,56.8,9.9,10.1,58.0,28.4,15.9
7.245,1.695,0.5,55.599999999999994,9.8,10.05,56.0,27.799999999999997,14.5
7.75,1.5,0.317,68.9,9.6,9.1,42.0,34.4,33.6
7.34,1.86,0.52,57.0,8.0,8.8,43.0,28.5,28.4
7.26,1.56,0.628,60.4,7.2,9.1,47.0,30.2,29.9
7.41,2.14,0.593,57.5,7.6,9.2,46.0,28.7,30.4
7.54,1.47,0.756,54.6,4.4,8.8,45.0,27.3,28.5
7.5,1.63,0.382,58.4,8.5,8.1,74.0,29.2,28.2
7.52,1.36,0.569,56.5,6.45,8.45,59.5,28.25,28.35
7.13,1.45,0.494,63.2,7.9,10.2,58.0,31.6,24.5
7.46,1.41,0.724,67.4,8.7,10.4,57.0,33.7,29.7
7.02,1.47,0.631,63.6,5.6,9.7,46.0,31.8,28.5
6.95,1.46,0.482,61.6,7.1499999999999995,9.4,54.0,30.8,29.3
7.21,1.52,0.497,62.3,8.1,8.8,44.0,31.1,26.4
7.2,1.53,0.446,61.0,7.6,9.2,41.0,30.5,24.8
7.205,1.525,0.47150000000000003,61.65,7.85,9.0,42.5,30.8,25.6
7.202500000000001,1.09,0.819,48.0,7.725,9.0,53.0,24.0,25.8
7.12,1.62,0.337,47.6,6.7,7.7,44.0,23.8,25.5
6.77,1.86,0.447,58.1,8.2,7.8,43.0,29.0,22.4
7.24,1.81,0.451,58.2,8.8,8.1,44.0,29.1,21.8
7.02,1.77,0.463,58.4,8.3,7.8,49.0,29.2,21.6
7.01,1.79,0.669,56.8,8.1,7.9,48.0,28.4,22.1
7.015,1.78,0.5660000000000001,57.599999999999994,8.2,7.85,48.5,28.799999999999997,21.85
8.59,1.7850000000000001,0.415,50.8,9.9,6.0,45.0,25.4,25.6
7.2,1.7825000000000002,0.865,64.0,12.4,6.5,48.0,32.0,29.1
7.34,1.7837500000000002,0.876,50.8,7.9,5.6,38.0,25.4,24.1
7.54,1.783125,0.695,56.4,9.0,5.5,43.0,28.2,22.3
7.28,1.7834375000000002,1.003,59.8,5.8,5.5,40.0,29.9,17.1
6.64,1.7832812500000002,0.704,67.4,7.6,5.1,40.0,33.7,16.2
7.36,1.62,1.039,50.8,6.9,5.8,53.0,25.4,18.2
6.53,2.04,0.505,64.1,7.9,6.3,49.0,32.0,20.7
7.68,1.72,0.235,66.1,8.7,6.0,43.0,33.0,20.0
8.02,1.55,0.489,59.8,8.2,5.1,37.0,29.9,19.2
7.44,1.47,0.493,58.0,9.1,4.8,44.0,29.0,19.5
7.37,1.68,0.289,71.9,12.9,5.2,39.0,36.0,40.4
7.46,1.81,0.335,64.95,11.0,5.0,38.0,32.5,29.95
7.48,1.54,0.529,68.42500000000001,11.95,5.1,41.5,34.25,35.175
7.5,1.27,0.723,57.0,8.5,5.6,45.0,28.5,26.7
7.17,1.31,0.735,60.0,9.2,6.0,40.0,30.0,25.6
7.68,1.47,0.612,56.5,10.3,6.1,40.0,28.2,26.1
7.13,1.53,0.596,53.8,7.8,6.0,39.0,26.9,23.6
7.18,1.82,0.607,53.6,9.0,6.3,37.0,26.8,23.4
7.91,1.65,0.491,51.8,8.2,5.7,43.0,25.9,23.5
7.495,1.575,0.8015000000000001,52.65,8.25,5.25,41.5,26.299999999999997,23.9
7.08,1.5,1.112,53.5,8.3,4.8,40.0,26.7,24.3
7.26,1.46,0.475,55.8,9.6,4.8,40.0,28.0,21.5
7.13,1.54,0.625,54.8,9.9,5.4,42.0,27.4,23.5
7.01,1.47,0.612,54.6,8.1,5.3,39.0,27.3,19.0
7.76,1.31,0.723,49.6,8.4,5.2,40.0,24.8,20.2
7.88,1.49,0.519,50.2,8.1,5.5,37.0,25.1,20.1
1.43,1.4,0.6335,52.1,8.85,5.55,42.0,26.05,22.25
7.66,1.31,0.748,54.0,9.6,5.6,47.0,27.0,24.4
7.38,1.28,0.679,56.3,8.2,5.5,50.5,28.15,24.65
7.1,1.28,0.61,58.6,6.8,5.4,54.0,29.3,24.9
7.25,1.13,0.231,66.6,8.9,5.7,55.0,33.3,21.6
7.15,1.04,0.338,64.8,10.6,5.1,48.0,32.4,23.2
7.54,1.28,0.313,64.4,9.6,5.0,67.0,32.2,31.7
7.359999999999999,1.36,0.4525,62.5,8.85,5.0,70.5,31.25,30.95
7.18,1.15,0.592,60.6,8.1,5.0,74.0,30.3,30.2
7.27,1.37,0.276,62.8,8.7,5.1,71.0,31.4,28.2
6.55,1.58,0.52,62.6,7.9,4.6,71.0,31.3,29.3
7.2,1.57,0.268,68.2,8.2,4.7,74.0,34.1,30.2
7.15,1.66,0.286,66.2,9.1,4.4,69.0,33.1,28.8
7.73,1.65,0.277,66.2,9.9,4.4,61.0,33.1,24.1
7.43,1.415,0.392,64.65,9.850000000000001,4.15,55.0,32.3,23.450000000000003
7.13,1.18,0.507,63.1,9.8,3.9,49.0,31.5,22.8
7.29,1.26,0.386,59.2,7.7,4.4,36.0,29.6,16.5
7.17,1.3,0.437,65.0,9.6,4.1,47.0,32.5,17.5
6.69,1.71,0.392,63.6,8.8,4.1,53.0,31.8,24.0
6.95,1.55,0.216,68.4,8.1,4.4,50.0,34.2,24.6
8.02,1.45,0.276,66.4,10.1,4.1,44.0,33.2,24.0
8.08,1.79,0.30000000000000004,70.80000000000001,10.35,4.35,45.5,35.400000000000006,24.15
